description;plcVariableName;mbUsed;multiplier;addressOffset;mbRegister;mbFunctionCode;mbUnit;mqttLowerLimit;mqttUpperLimit;mbScaling;mbOffset;mbType;mqttScaling;mqttName;mqttOffset;mqttUnit;mqttDecimals
Rack CBMU lost communication;rack_cbmu_lost_communication;true;5;100;200;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack total voltage undervoltage slight alarm;rack_total_voltage_undervoltage_slight_alarm;true;5;100;201;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack total voltage undervoltage medium alarm;rack_total_voltage_undervoltage_medium_alarm;true;5;100;202;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack total voltage undervoltage serious alarm;rack_total_voltage_undervoltage_serious_alarm;true;5;100;203;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack total voltage overvoltage slight alarm;rack_total_voltage_overvoltage_slight_alarm;true;5;100;204;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack total voltage overvoltage medium alarm;rack_total_voltage_overvoltage_medium_alarm;true;5;100;205;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack total voltage overvoltage serious alarm;rack_total_voltage_overvoltage_serious_alarm;true;5;100;206;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack overcurrent slight alarm;rack_overcurrent_slight_alarm;true;5;100;207;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack overcurrent medium alarm;rack_overcurrent_medium_alarm;true;5;100;208;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack overcurrent serious alarm;rack_overcurrent_serious_alarm;true;5;100;209;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage undervoltage slight alarm;rack_cell_voltage_undervoltage_slight_alarm;true;5;100;210;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage undervoltage medium alarm;rack_cell_voltage_undervoltage_medium_alarm;true;5;100;211;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage undervoltage serious alarm;rack_cell_voltage_undervoltage_serious_alarm;true;5;100;212;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage overvoltage slight alarm;rack_cell_voltage_overvoltage_slight_alarm;true;5;100;213;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage overvoltage medium alarm;rack_cell_voltage_overvoltage_medium_alarm;true;5;100;214;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage overvoltage serious alarm;rack_cell_voltage_overvoltage_serious_alarm;true;5;100;215;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell low temperature slight alarm;rack_cell_low_temperature_slight_alarm;true;5;100;216;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell low temperature medium alarm;rack_cell_low_temperature_medium_alarm;true;5;100;217;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell low temperature serious alarm;rack_cell_low_temperature_serious_alarm;true;5;100;218;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell over temperature slight alarm;rack_cell_over_temperature_slight_alarm;true;5;100;219;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell over temperature medium alarm;rack_cell_over_temperature_medium_alarm;true;5;100;220;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell over temperature serious alarm;rack_cell_over_temperature_serious_alarm;true;5;100;221;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC low slight alarm;rack_cell_soc_low_slight_alarm;true;5;100;222;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC low medium alarm;rack_cell_soc_low_medium_alarm;true;5;100;223;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC low serious alarm;rack_cell_soc_low_serious_alarm;true;5;100;224;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC high slight alarm;rack_cell_soc_high_slight_alarm;true;5;100;225;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC high medium alarm;rack_cell_soc_high_medium_alarm;true;5;100;226;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC high serious alarm;rack_cell_soc_high_serious_alarm;true;5;100;227;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOH low slight alarm;rack_cell_soh_low_slight_alarm;true;5;100;228;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC low medium alarm;rack_cell_soc_low_medium_alarm;true;5;100;229;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell SOC low serious alarm;rack_cell_soc_low_serious_alarm;true;5;100;230;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage different slight alarm;rack_cell_voltage_different_slight_alarm;true;5;100;231;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage different medium alarm;rack_cell_voltage_different_medium_alarm;true;5;100;232;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell voltage different serious alarm;rack_cell_voltage_different_serious_alarm;true;5;100;233;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell temperature different slight alarm;rack_cell_temperature_different_slight_alarm;true;5;100;234;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell temperature different medium alarm;rack_cell_temperature_different_medium_alarm;true;5;100;235;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack cell temperature different serious alarm;rack_cell_temperature_different_serious_alarm;true;5;100;236;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack MBMU #1 lost Communication;rack_mbmu_1_lost_communication;false;5;100;237;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack MBMU #40 lost Communication;rack_mbmu_40_lost_communication;false;5;100;276;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack terminal temperature high slight alarm;rack_terminal_temperature_high_slight_alarm;true;5;100;277;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack terminal temperature high medium alarm;rack_terminal_temperature_high_medium_alarm;true;5;100;278;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack terminal temperature high serious alarm;rack_terminal_temperature_high_serious_alarm;true;5;100;279;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
Rack module voltage overvoltage slight alarm;rack_module_voltage_overvoltage_slight_alarm;true;5;100;280;2;NoUnit;-9999999;9999999;1;0;UINT;1;;0;NoUnit;3
