Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
APS_Warning_Code_7,,8260,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Operating_State,,8278,,,,UINT16,1,0,U#_ST_State,,99999999.0,-99999999.0
APS_Modbus_TCP_Write_Error_Address,,8280,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_MV_Trip_Temperature,,8282,0.1°C,,,INT16,1,0,,,99999999.0,-99999999.0
#_U_Grid_Voltage_L1N,,8334,0.1V,,,UINT16,6,200,U#_ME_V_L1N,V,99999999.0,-99999999.0
#_U_Grid_Voltage_L2N,,8335,0.1V,,,UINT16,6,200,U#_ME_V_L2N,V,99999999.0,-99999999.0
#_U_Grid_Voltage_L3N,,8336,0.1V,,,UINT16,6,200,U#_ME_V_L3N,V,99999999.0,-99999999.0
#_U_Grid_Voltage_L12,,8337,0.1V,,,UINT16,6,200,U#_ME_V_L12,V,99999999.0,-99999999.0
#_U_Grid_Voltage_L23,,8338,0.1V,,,UINT16,6,200,U#_ME_V_L23,V,99999999.0,-99999999.0
#_U_Grid_Voltage_L31,,8339,0.1V,,,UINT16,6,200,U#_ME_V_L31,V,99999999.0,-99999999.0
#_U_Grid_Frequency,,8398,0.001Hz,,,UINT16,6,200,U#_ME_F,Hz,99999999.0,-99999999.0
#_U_Grid_Current_L1,,8399,0.1A,,,INT16,6,200,U#_ME_I_L1,A,99999999.0,-99999999.0
#_U_Grid_Current_L2,,8400,0.1A,,,INT16,6,200,U#_ME_I_L2,A,99999999.0,-99999999.0
#_U_Grid_Current_L3,,8401,0.1A,,,INT16,6,200,U#_ME_I_L3,A,99999999.0,-99999999.0
#_U_Active_Power_Total,,8402,0.1kW,,,INT16,6,200,U#_ME_P_Tot,W,99999999.0,-99999999.0
#_U_Active_Power_L1,,8403,0.1kW,,,INT16,6,200,U#_ME_P_L1,W,99999999.0,-99999999.0
#_U_Active_Power_L2,,8404,0.1kW,,,INT16,6,200,U#_ME_P_L2,W,99999999.0,-99999999.0
#_U_Active_Power_L3,,8405,0.1kW,,,INT16,6,200,U#_ME_P_L3,W,99999999.0,-99999999.0
#_U_Reactive_Power_Total,,8406,0.1kvar,,,INT16,6,200,U#_ME_Q_Tot,VAr,99999999.0,-99999999.0
#_U_Reactive_Power_L1,,8407,0.1kvar,,,INT16,6,200,U#_ME_Q_L1,VAr,99999999.0,-99999999.0
#_U_Reactive_Power_L2,,8408,0.1kvar,,,INT16,6,200,U#_ME_Q_L2,VAr,99999999.0,-99999999.0
#_U_Reactive_Power_L3,,8409,0.1kvar,,,INT16,6,200,U#_ME_Q_L3,VAr,99999999.0,-99999999.0
#_U_DC_Voltage,,8410,0.1V,,,INT16,6,200,U#_ME_V_DC,V,99999999.0,-99999999.0
#_U_DC_Current,,8411,0.1A,,,INT16,6,200,U#_ME_I_DC,A,99999999.0,-99999999.0
#_U_DC_Power,,8412,0.1kW,,,INT16,6,200,U#_ME_P_DC,W,99999999.0,-99999999.0
#_U_Inductor_Temperature,,8413,0.1°C,,,INT16,6,200,,,99999999.0,-99999999.0
#_U_IGBT_Temperature_L1,,8414,0.1°C,,,INT16,6,200,,,99999999.0,-99999999.0
#_U_IGBT_Temperature_L2,,8415,0.1°C,,,INT16,6,200,,,99999999.0,-99999999.0
#_U_IGBT_Temperature_L3,,8416,0.1°C,,,INT16,6,200,,,99999999.0,-99999999.0
#_U_Applied_Active_Power_Limit,,8417,0.1kW,,,INT16,6,200,U#_LIM_P,W,99999999.0,-99999999.0
#_U_Applied_Reactive_Power_Limit,,8421,0.1kvar,,,INT16,6,200,U#_LIM_Q,VAr,99999999.0,-99999999.0
#_U_Applied_DC_Voltage_Maximum,,8425,0.1V,,,INT16,6,200,,V,99999999.0,-99999999.0
#_U_Applied_DC_Voltage_Minimum,,8426,0.1V,,,INT16,6,200,,V,99999999.0,-99999999.0
#_U_Applied_Positive_DC_Current_Limit,,8427,0.1A,,,INT16,6,200,U#_LIM_I_DC_Pos,A,99999999.0,-99999999.0
#_U_Applied_Negative_DC_Current_Limit,,8428,0.1A,,,INT16,6,200,U#_LIM_I_DC_Neg,A,99999999.0,-99999999.0
#_U_Energy_Counter_Positive_Total,,8429,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
#_U_Energy_Counter_Positive_L1,,8431,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
#_U_Energy_Counter_Positive_L2,,8433,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
#_U_Energy_Counter_Positive_L3,,8435,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
#_U_Energy_Counter_Negative_Total,,8437,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
#_U_Energy_Counter_Negative_L1,,8439,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
#_U_Energy_Counter_Negative_L2,,8441,0.1kWh,,,UINT32,6,200,,Wh,99999999.0,-99999999.0
