description;plcVariableName;mbUsed;multiplier;addressOffset;mbRegister;mbFunctionCode;mbUnit;mqttLowerLimit;mqttUpperLimit;mbScaling;mbOffset;mbType;mqttScaling;mqttName;mqttOffset;mqttUnit;mqttDecimals;mbHandler;mbHandlerOffset;mbIdx;mbTypeSize
Self-check feedback (UPS);self_check_feedback_ups;True;1;0;60142;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;8;0;17;16
Auxiliary power supply status (UPS);auxiliary_power_supply_status_ups;True;1;0;60143;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;ST_UPS_P;0;NoUnit;3;8;0;18;16
UPS output status (UPS);ups_output_status_ups;True;1;0;60144;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;8;0;19;16
Load status (UPS);load_status_ups;True;1;0;60145;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;8;0;20;16
Charging/discharging status (UPS);charging_discharging_status_ups;True;1;0;60146;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;ST_UPS;0;NoUnit;3;8;0;21;16
Battery remaining capacity (UPS);battery_remaining_capacity_ups;True;1;0;60147;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;ST_UPS_SOC;0;NoUnit;3;8;0;22;16
Auxiliary power supply abnormality (UPS);auxiliary_power_supply_abnormality_ups;True;1;0;60149;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;ST_UPS_Alarm      ;0;NoUnit;3;9;0;1;16
Feedback of circuit breaker (DI);feedback_of_circuit_breaker_di;True;1;0;60150;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;2;16
Container access control;container_access_control;True;1;0;60151;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;3;16
PCS emergency stop;pcs_emergency_stop;True;1;0;60152;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;4;16
SPD feedback 2;spd_feedback_2;True;1;0;60153;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;5;16
Flood;flood;True;1;0;60154;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;6;16
Combustible gas alarm;combustible_gas_alarm;True;1;0;60155;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;7;16
Explosion-proof fan status;explosion_proof_fan_status;True;1;0;60156;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;8;16
Explosion-proof fan alarm;explosion_proof_fan_alarm;True;1;0;60157;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;9;16
Container emergency stop (restart to release);container_emergency_stop_restart_to_release;True;1;0;60158;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;10;16
Fire protection fault;fire_protection_fault;True;1;0;60159;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;11;16
Fire protection alarm (level I);fire_protection_alarm_level_i;True;1;0;60160;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;12;16
Fire protection alarm (level II);fire_protection_alarm_level_ii;True;1;0;60161;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;13;16
AC detection;ac_detection;True;1;0;60162;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;9;0;14;16
BMS request mode (Liquid cooling unit);bms_request_mode_liquid_cooling_unit;True;1;0;60165;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;10;0;1;16
BMS status;bms_status;True;1;0;60166;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;ST_Op   ;0;NoUnit;3;10;0;2;16
Set temperature;set_temperature;True;1;0;60167;4;°C;-9999999;9999999;1.0;-40;UINT;1;;0;°C;3;10;0;3;16
Is the SSD device present;is_the_ssd_device_present;True;1;0;60170;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;11;0;1;16
Number of racks online of the system;number_of_racks_online_of_the_system;True;1;0;60174;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;ST_RackCount      ;0;NoUnit;3;12;0;1;16
Energy meter operating time (full) (Energy meter);energy_meter_operating_time_full_energy_meter;True;1;0;60178;4;h;-9999999;9999999;1.0;0;UINT;1;;0;h;3;13;0;1;16
Energy meter operating time (full) (Energy meter);energy_meter_operating_time_full_energy_meter;True;1;0;60179;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;13;0;2;16
Energy meter forward active energy (full) (Energy meter);energy_meter_forward_active_energy_full_energy_meter;True;1;0;60181;4;Wh;-9999999;9999999;1.0;0;UINT;1;;0;Wh;3;14;0;1;16
Energy meter forward active energy (full) (Energy meter);energy_meter_forward_active_energy_full_energy_meter;True;1;0;60182;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;14;0;2;16
Energy meter forward reactive energy (full) (Energy meter);energy_meter_forward_reactive_energy_full_energy_meter;True;1;0;60183;4;varh;-9999999;9999999;1.0;0;UINT;1;;0;varh;3;14;0;3;16
Energy meter forward reactive energy (full) (Energy meter);energy_meter_forward_reactive_energy_full_energy_meter;True;1;0;60184;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;14;0;4;16
UPS battery remaining time (s) (full) (UPS);ups_battery_remaining_time_s_full_ups;True;1;0;60185;4;s;-9999999;9999999;1.0;0;UINT;1;;0;s;3;14;0;5;16
UPS battery remaining time (s) (full) (UPS);ups_battery_remaining_time_s_full_ups;True;1;0;60186;4;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;14;0;6;16
